C:\Users\somas\anaconda3\envs\finguard\python.exe C:\Users\somas\PycharmProjects\FinGuardPro\models\tune_lightgbm.py 
[I 2025-07-08 13:27:38,526] A new study created in memory with name: no-name-5a93db58-8e4d-4f03-bbed-25214ef868a7
[I 2025-07-08 13:30:00,884] Trial 31 finished with value: 0.995979656788377 and parameters: {'learning_rate': 0.06792442272240881, 'num_leaves': 62, 'max_depth': 8, 'feature_fraction': 0.643756385489805, 'bagging_fraction': 0.7491403300342524, 'bagging_freq': 1, 'min_child_samples': 97, 'lambda_l1': 3.1824974791328637, 'lambda_l2': 4.767774799644861}. Best is trial 22 with value: 0.9961404552733711.
[I 2025-07-08 13:30:04,617] Trial 32 finished with value: 0.9958219951426883 and parameters: {'learning_rate': 0.047244624409385864, 'num_leaves': 64, 'max_depth': 7, 'feature_fraction': 0.6254857371411009, 'bagging_fraction': 0.6635130877324384, 'bagging_freq': 1, 'min_child_samples': 99, 'lambda_l1': 2.9798514197892843, 'lambda_l2': 4.369814614939725}. Best is trial 22 with value: 0.9961404552733711.
[I 2025-07-08 13:30:09,888] Trial 33 finished with value: 0.9960642338063131 and parameters: {'learning_rate': 0.06616584148442511, 'num_leaves': 69, 'max_depth': 9, 'feature_fraction': 0.692094669753915, 'bagging_fraction': 0.8361942056239451, 'bagging_freq': 3, 'min_child_samples': 87, 'lambda_l1': 1.876952153719878, 'lambda_l2': 4.01823081657629}. Best is trial 22 with value: 0.9961404552733711.
[I 2025-07-08 13:30:12,722] Trial 34 finished with value: 0.9955369559775787 and parameters: {'learning_rate': 0.0968404280168005, 'num_leaves': 50, 'max_depth': 3, 'feature_fraction': 0.6182782708950751, 'bagging_fraction': 0.7136604337763669, 'bagging_freq': 2, 'min_child_samples': 95, 'lambda_l1': 2.5582295562921042, 'lambda_l2': 4.670857912906754}. Best is trial 22 with value: 0.9961404552733711.
[I 2025-07-08 13:30:16,232] Trial 35 finished with value: 0.9954591629429264 and parameters: {'learning_rate': 0.012675034844987745, 'num_leaves': 75, 'max_depth': 11, 'feature_fraction': 0.7201384590043274, 'bagging_fraction': 0.6186888310054313, 'bagging_freq': 3, 'min_child_samples': 100, 'lambda_l1': 1.1699263894113714, 'lambda_l2': 3.270996787802428}. Best is trial 22 with value: 0.9961404552733711.
[I 2025-07-08 13:30:19,803] Trial 36 finished with value: 0.9958605074658242 and parameters: {'learning_rate': 0.040412463029767955, 'num_leaves': 30, 'max_depth': 6, 'feature_fraction': 0.6668508185748281, 'bagging_fraction': 0.7648874679477482, 'bagging_freq': 1, 'min_child_samples': 76, 'lambda_l1': 3.830380017123111, 'lambda_l2': 2.495081661147413}. Best is trial 22 with value: 0.9961404552733711.
[I 2025-07-08 13:30:22,560] Trial 37 finished with value: 0.9951564149001214 and parameters: {'learning_rate': 0.02352418583850083, 'num_leaves': 58, 'max_depth': 4, 'feature_fraction': 0.7449028115994286, 'bagging_fraction': 0.8618934521869274, 'bagging_freq': 4, 'min_child_samples': 80, 'lambda_l1': 2.6330458034418283, 'lambda_l2': 4.272299336506168}. Best is trial 22 with value: 0.9961404552733711.
[I 2025-07-08 13:30:27,629] Trial 38 finished with value: 0.9956548742914778 and parameters: {'learning_rate': 0.12758722410351395, 'num_leaves': 63, 'max_depth': 13, 'feature_fraction': 0.6565391958141785, 'bagging_fraction': 0.807883731091489, 'bagging_freq': 2, 'min_child_samples': 87, 'lambda_l1': 3.0668724285155826, 'lambda_l2': 3.824243412999249}. Best is trial 22 with value: 0.9961404552733711.
[I 2025-07-08 13:30:33,454] Trial 39 finished with value: 0.996082113365879 and parameters: {'learning_rate': 0.054352545020308146, 'num_leaves': 92, 'max_depth': 11, 'feature_fraction': 0.706380680116893, 'bagging_fraction': 0.7434206337996665, 'bagging_freq': 3, 'min_child_samples': 94, 'lambda_l1': 2.3210380129994617, 'lambda_l2': 4.704918313275888}. Best is trial 22 with value: 0.9961404552733711.
[I 2025-07-08 13:30:37,381] Trial 40 finished with value: 0.9956613671914589 and parameters: {'learning_rate': 0.028482078187435714, 'num_leaves': 45, 'max_depth': 8, 'feature_fraction': 0.8191047355026515, 'bagging_fraction': 0.7917343881260457, 'bagging_freq': 1, 'min_child_samples': 51, 'lambda_l1': 3.4069935128222033, 'lambda_l2': 1.0686213690257007}. Best is trial 22 with value: 0.9961404552733711.
[I 2025-07-08 13:30:42,010] Trial 41 finished with value: 0.9959567666921698 and parameters: {'learning_rate': 0.03947444535540109, 'num_leaves': 53, 'max_depth': 8, 'feature_fraction': 0.7675919482833119, 'bagging_fraction': 0.8889080964848884, 'bagging_freq': 1, 'min_child_samples': 92, 'lambda_l1': 2.1424374558228436, 'lambda_l2': 3.371269845230514}. Best is trial 22 with value: 0.9961404552733711.
[I 2025-07-08 13:30:45,872] Trial 42 finished with value: 0.995495851114226 and parameters: {'learning_rate': 0.019191128789792948, 'num_leaves': 58, 'max_depth': 7, 'feature_fraction': 0.7486364518439934, 'bagging_fraction': 0.8735618422570778, 'bagging_freq': 2, 'min_child_samples': 95, 'lambda_l1': 0.01848853809437845, 'lambda_l2': 3.49776823023211}. Best is trial 22 with value: 0.9961404552733711.
[I 2025-07-08 13:30:50,423] Trial 43 finished with value: 0.9961773943885737 and parameters: {'learning_rate': 0.06086415036085621, 'num_leaves': 34, 'max_depth': 9, 'feature_fraction': 0.68290174126086, 'bagging_fraction': 0.994959534714979, 'bagging_freq': 1, 'min_child_samples': 85, 'lambda_l1': 1.4585790889953225, 'lambda_l2': 4.23788815458051}. Best is trial 43 with value: 0.9961773943885737.
[I 2025-07-08 13:30:56,456] Trial 44 finished with value: 0.9960666147316377 and parameters: {'learning_rate': 0.0744727691306481, 'num_leaves': 81, 'max_depth': 9, 'feature_fraction': 0.6173569177163551, 'bagging_fraction': 0.9549219039552952, 'bagging_freq': 10, 'min_child_samples': 85, 'lambda_l1': 0.994763952961268, 'lambda_l2': 4.993715825405318}. Best is trial 43 with value: 0.9961773943885737.
[I 2025-07-08 13:31:00,543] Trial 45 finished with value: 0.9960037726312988 and parameters: {'learning_rate': 0.06240989589879191, 'num_leaves': 20, 'max_depth': 10, 'feature_fraction': 0.639493480128642, 'bagging_fraction': 0.9748669525737845, 'bagging_freq': 1, 'min_child_samples': 27, 'lambda_l1': 1.411753614076018, 'lambda_l2': 4.25699564487032}. Best is trial 43 with value: 0.9961773943885737.
[I 2025-07-08 13:31:12,088] Trial 46 finished with value: 0.9956464201218619 and parameters: {'learning_rate': 0.05461086883356028, 'num_leaves': 29, 'max_depth': 5, 'feature_fraction': 0.6844620289468546, 'bagging_fraction': 0.9981320412952749, 'bagging_freq': 9, 'min_child_samples': 97, 'lambda_l1': 1.8376347667670998, 'lambda_l2': 3.849119023220283}. Best is trial 43 with value: 0.9961773943885737.
[I 2025-07-08 13:31:18,338] Trial 47 finished with value: 0.9959229662382505 and parameters: {'learning_rate': 0.0915410107982492, 'num_leaves': 36, 'max_depth': 9, 'feature_fraction': 0.890569682609019, 'bagging_fraction': 0.9210676594658659, 'bagging_freq': 2, 'min_child_samples': 38, 'lambda_l1': 0.6540387109376571, 'lambda_l2': 2.9889282777434616}. Best is trial 43 with value: 0.9961773943885737.
[I 2025-07-08 13:31:22,569] Trial 48 finished with value: 0.9960310747416592 and parameters: {'learning_rate': 0.045407146181845486, 'num_leaves': 102, 'max_depth': 7, 'feature_fraction': 0.6698556479531778, 'bagging_fraction': 0.8421871625718814, 'bagging_freq': 3, 'min_child_samples': 100, 'lambda_l1': 2.833236843596716, 'lambda_l2': 4.7651765863320685}. Best is trial 43 with value: 0.9961773943885737.
[I 2025-07-08 13:31:28,505] Trial 49 finished with value: 0.9960112869985192 and parameters: {'learning_rate': 0.057374023927090054, 'num_leaves': 71, 'max_depth': 10, 'feature_fraction': 0.7113961808637402, 'bagging_fraction': 0.6946903593675823, 'bagging_freq': 1, 'min_child_samples': 72, 'lambda_l1': 3.7790830968044307, 'lambda_l2': 4.312818361571996}. Best is trial 43 with value: 0.9961773943885737.
🎯 Best AUC: 0.9961773943885737
🏆 Best hyperparameters: {'learning_rate': 0.06086415036085621, 'num_leaves': 34, 'max_depth': 9, 'feature_fraction': 0.68290174126086, 'bagging_fraction': 0.994959534714979, 'bagging_freq': 1, 'min_child_samples': 85, 'lambda_l1': 1.4585790889953225, 'lambda_l2': 4.23788815458051}
💾 Final tuned LightGBM model saved!

Process finished with exit code 0
