iter	Passed	Remaining
599	36867	24578
600	36933	24520
601	37010	24468
602	37081	24413
603	37160	24363
604	37233	24309
605	37299	24251
606	37369	24194
607	37447	24144
608	37519	24088
609	37591	24034
610	37660	23977
611	37724	23916
612	37796	23861
613	37867	23806
614	37939	23750
615	38005	23691
616	38080	23638
617	38147	23579
618	38215	23522
619	38289	23467
620	38366	23415
621	38435	23358
622	38501	23298
623	38571	23241
624	38638	23183
625	38705	23124
626	38779	23069
627	38853	23015
628	38933	22963
629	39012	22912
630	39079	22853
631	39142	22791
632	39212	22734
633	39279	22675
634	39348	22617
635	39426	22564
636	39499	22509
637	39574	22454
638	39644	22396
639	39713	22338
640	39780	22279
641	39854	22224
642	39920	22164
643	40029	22128
644	40230	22142
645	40325	22098
646	40404	22044
647	40465	21981
648	40533	21921
649	40613	21868
650	40683	21810
651	40759	21754
652	40830	21696
653	40902	21639
654	40969	21579
655	41032	21517
656	41102	21458
657	41171	21399
658	41239	21339
659	41299	21275
660	41365	21214
661	41434	21155
662	41510	21099
663	41583	21042
664	41647	20980
665	41716	20920
666	41795	20866
667	41870	20809
668	41934	20748
669	42005	20689
670	42071	20628
671	42141	20568
672	42220	20514
673	42281	20450
674	42349	20390
675	42412	20328
676	42484	20269
677	42553	20209
678	42626	20152
679	42710	20098
680	42796	20046
681	42867	19987
682	42934	19927
683	43008	19869
684	43086	19813
685	43158	19754
686	43327	19740
687	43521	19736
688	43606	19683
689	43674	19622
690	43721	19551
691	43796	19493
692	43842	19422
693	43913	19362
694	43987	19304
695	44050	19240
696	44119	19179
697	44180	19115
698	44246	19053
699	44322	18995
700	44391	18934
701	44412	18853
702	44433	18772
703	44455	18691
704	44473	18609
705	44493	18528
706	44514	18447
707	44537	18368
708	44553	18286
709	44575	18206
710	44595	18126
711	44614	18046
712	44633	17965
713	44649	17884
714	44667	17804
715	44685	17724
716	44705	17645
717	44723	17565
718	44742	17486
719	44761	17407
720	44777	17327
721	44793	17247
722	44809	17167
723	44827	17088
724	44844	17010
725	44861	16931
726	44878	16852
727	44896	16774
728	44913	16696
729	44936	16620
730	44966	16547
731	44988	16471
732	45016	16397
733	45037	16321
734	45058	16245
735	45079	16169
736	45097	16093
737	45116	16016
738	45139	15942
739	45166	15869
740	45191	15795
741	45220	15723
742	45240	15648
743	45256	15572
744	45274	15496
